k	l	m	KLM
0	0	0	0.000000
0	0	1	0.014957
0	0	2	0.000000
0	0	3	0.000000
0	0	4	0.007543
0	0	5	0.120683
0	0	6	0.000000
0	0	7	0.022628
0	0	8	0.000000
0	0	9	0.595872
0	0	10	0.000000
0	0	11	0.000000
0	0	12	0.185518
0	0	13	0.037714
0	0	14	0.015085
0	0	15	0.000000
0	1	0	0.000000
0	1	1	0.000000
0	1	2	0.000000
0	1	3	0.000000
0	1	4	0.298397
0	1	5	0.014209
0	1	6	0.000000
0	1	7	0.035524
0	1	8	0.000000
0	1	9	0.000000
0	1	10	0.000000
0	1	11	0.059097
0	1	12	0.000000
0	1	13	0.000000
0	1	14	0.260362
0	1	15	0.000000
0	1	16	0.056838
0	1	17	0.000000
0	1	18	0.000000
0	1	19	0.164479
0	1	20	0.103990
0	1	21	0.000000
0	1	22	0.000000
0	1	23	0.000000
0	1	24	0.007105
0	1	25	0.000000
0	1	26	0.000000
0	1	27	0.000000
0	1	28	0.000000
0	2	0	0.000000
0	2	1	0.029670
0	2	2	0.007418
0	2	3	0.000000
0	2	4	0.000000
0	2	5	0.000000
0	2	6	0.184066
0	2	7	0.000000
0	2	8	0.014835
0	2	9	0.000000
0	2	10	0.000000
0	2	11	0.000000
0	2	12	0.000000
0	2	13	0.764011
0	2	14	0.000000
0	3	0	0.000000
0	3	1	0.000000
0	3	2	0.000000
0	3	3	0.000000
0	3	4	0.000000
0	3	5	0.386810
0	3	6	0.000000
0	3	7	0.000000
0	3	8	0.613190
0	3	9	0.000000
0	3	10	0.000000
0	3	11	0.000000
0	3	12	0.000000
0	3	13	0.000000
0	3	14	0.000000
0	3	15	0.000000
0	3	16	0.000000
0	3	17	0.000000
0	3	18	0.000000
0	3	19	0.000000
0	3	20	0.000000
0	3	21	0.000000
0	3	22	0.000000
0	4	0	0.000000
0	4	1	0.000000
0	4	2	0.000000
0	4	3	0.000000
0	4	4	0.198452
0	4	5	0.000000
0	4	6	0.051213
0	4	7	0.000000
0	4	8	0.006402
0	4	9	0.000000
0	4	10	0.256067
0	4	11	0.000000
0	4	12	0.115230
0	4	13	0.000000
0	4	14	0.089624
0	4	15	0.000000
0	4	16	0.089624
0	4	17	0.000000
0	4	18	0.012803
0	4	19	0.000000
0	4	20	0.084935
0	4	21	0.000000
0	4	22	0.050174
0	4	23	0.000000
0	4	24	0.000000
0	4	25	0.012803
0	4	26	0.000000
0	4	27	0.000000
0	4	28	0.000000
0	4	29	0.000000
0	4	30	0.007065
0	4	31	0.000000
0	4	32	0.000000
0	4	33	0.006402
0	4	34	0.000000
0	4	35	0.019205
0	4	36	0.000000
0	4	37	0.000000
0	5	0	0.000000
0	5	1	0.000000
0	5	2	0.547363
0	5	3	0.000000
0	5	4	0.013772
0	5	5	0.000000
0	5	6	0.200967
0	5	7	0.000000
0	5	8	0.075266
0	5	9	0.020658
0	5	10	0.000000
0	5	11	0.027544
0	5	12	0.000000
0	5	13	0.013772
0	5	14	0.027544
0	5	15	0.000000
0	5	16	0.038682
0	5	17	0.000000
0	5	18	0.000000
0	5	19	0.000000
0	5	20	0.006886
0	5	21	0.000000
0	5	22	0.027544
0	5	23	0.000000
0	5	24	0.000000
0	5	25	0.000000
0	6	0	0.000000
0	6	1	0.128943
0	6	2	0.007404
0	6	3	0.000000
0	6	4	0.450183
0	6	5	0.000000
0	6	6	0.007404
0	6	7	0.114876
0	6	8	0.000000
0	6	9	0.265520
0	6	10	0.000000
0	6	11	0.018267
0	6	12	0.000000
0	6	13	0.007404
0	7	0	0.000000
