i	k	etaik
0	0	0.283552
0	1	0.000000
0	2	0.716448
1	0	0.000000
1	1	0.943794
1	2	0.056206
2	0	0.000000
2	1	0.606228
2	2	0.393772
3	0	0.161884
3	1	0.149518
3	2	0.688598
4	0	0.046889
4	1	0.319210
4	2	0.633901
5	0	0.087123
5	1	0.248506
5	2	0.664371
6	0	0.322717
6	1	0.273040
6	2	0.404244
7	0	0.232499
7	1	0.145784
7	2	0.621718
8	0	0.093166
8	1	0.477847
8	2	0.428987
9	0	0.149139
9	1	0.328657
9	2	0.522204
10	0	0.186362
10	1	0.627597
10	2	0.186041
11	0	0.269991
11	1	0.076572
11	2	0.653436
12	0	0.176256
12	1	0.421428
12	2	0.402316
13	0	0.000000
13	1	0.740451
13	2	0.259549
14	0	0.135707
14	1	0.794924
14	2	0.069370
15	0	0.000000
15	1	1.000000
15	2	0.000000
16	0	0.000000
16	1	0.465723
16	2	0.534277
17	0	0.126507
17	1	0.000000
17	2	0.873493
18	0	0.000000
18	1	0.338828
18	2	0.661172
19	0	0.405281
19	1	0.172229
19	2	0.422490
20	0	0.056364
20	1	0.179005
20	2	0.764632
21	0	0.016701
21	1	0.455596
21	2	0.527703
22	0	0.228695
22	1	0.382579
22	2	0.388726
23	0	0.274353
23	1	0.000000
23	2	0.725647
24	0	0.254139
24	1	0.000000
24	2	0.745861
25	0	0.000000
25	1	0.655050
25	2	0.344950
26	0	0.475780
26	1	0.000000
26	2	0.524220
27	0	0.503401
27	1	0.418464
27	2	0.078135
28	0	0.360060
28	1	0.461081
28	2	0.178858
29	0	0.000000
29	1	0.000000
29	2	1.000000
30	0	0.449665
30	1	0.061807
30	2	0.488528
31	0	0.240193
31	1	0.699682
31	2	0.060125
32	0	0.456772
32	1	0.309162
32	2	0.234067
33	0	0.274821
33	1	0.000000
33	2	0.725179
34	0	0.121989
34	1	0.060675
34	2	0.817336
35	0	0.000000
35	1	0.000000
35	2	1.000000
36	0	0.043915
36	1	0.244890
36	2	0.711195
37	0	0.114214
37	1	0.000000
37	2	0.885786
