k	l	m	KLM
0	0	0	1.000000
0	0	1	0.000000
0	1	0	0.664847
0	1	1	0.335153
0	2	0	0.608833
0	2	1	0.391167
0	3	0	0.304614
0	3	1	0.695386
0	4	0	0.523350
0	4	1	0.476650
0	5	0	0.298571
0	5	1	0.701429
0	6	0	0.305313
0	6	1	0.694687
0	7	0	0.692126
0	7	1	0.307874
0	8	0	0.821385
0	8	1	0.178615
0	9	0	0.817969
0	9	1	0.182031
0	10	0	0.499409
0	10	1	0.500591
0	11	0	0.340016
0	11	1	0.659984
0	12	0	0.501607
0	12	1	0.498393
0	13	0	0.282814
0	13	1	0.717186
0	14	0	0.531748
0	14	1	0.468252
0	15	0	0.708894
0	15	1	0.291106
0	16	0	0.593449
0	16	1	0.406551
0	17	0	0.000000
0	17	1	1.000000
0	18	0	0.757863
0	18	1	0.242137
0	19	0	0.625778
0	19	1	0.374222
1	0	0	0.034023
1	0	1	0.965977
1	1	0	0.592437
1	1	1	0.407563
1	2	0	0.512328
1	2	1	0.487672
1	3	0	0.694812
1	3	1	0.305188
1	4	0	0.636188
1	4	1	0.363812
1	5	0	0.567370
1	5	1	0.432630
1	6	0	0.733819
1	6	1	0.266181
1	7	0	0.552220
1	7	1	0.447780
1	8	0	0.305839
1	8	1	0.694161
1	9	0	0.231966
1	9	1	0.768034
1	10	0	0.552706
1	10	1	0.447294
1	11	0	0.720832
1	11	1	0.279168
1	12	0	0.461812
1	12	1	0.538188
1	13	0	0.334158
1	13	1	0.665842
1	14	0	0.434450
1	14	1	0.565550
1	15	0	0.286995
1	15	1	0.713005
1	16	0	0.461255
1	16	1	0.538745
1	17	0	0.962766
1	17	1	0.037234
1	18	0	0.647930
1	18	1	0.352070
1	19	0	0.282574
1	19	1	0.717426

